id,rating_total,rating_label,full_text,llm_label,comment
17,2.8,negative,"Во времена, когда я работал, офис был в хорошем состоянии. Зарплата приходила вовремя. Да в общем все остальное: отношение к сотрудникам, рабочие места, оценку эффективности работы и т.д. Ответ представителя компании Март 2026",,
18,2.7,negative,"Хороший современный офис, оборудованная столовая, постоянная поддерживаемая идеальная чистота. Улучшить отношение к своим сотрудникам. Ставить их выше неадекватных клиентов и платить достойную зарплату. Ответ представителя компании Апрель 2026",,
19,4.7,positive,"Удаленный режим работы, письменные обращения, возможность помогать клиентам посредством чата Увеличить окладную часть и время ответа на чаты, дать возможность постоянных подработок в удобное для сотрудника время Ответ представителя компании Март 2026",,
20,5.0,positive,"- стабильность и хороший доход, был оформлен записью в трудовую с первого дня, выплаты заработной платы не задерживали, -понятный объем задач и отсутствие несвойственных функций, -масштабное обучение, в том числе освоил работу с интонацией, убедительностью и аргументацией, -здоровая атмосфера и приятный коллектив, общение с коллегами строилось на взаимном уважении деловом подходе, -хорошие условия медицинского страхования, стоматология тоже была предусмотрена. -сложно не погружаться эмоционально в ситуацию клиента, -имеет смысл предлагать на выбор бонусы от банка или денежную компенсацию, если не пользуешься. Ответ представителя компании Февраль 2026",,
21,2.3,negative,"Изначально в компании все было очень хорошо , былт много подработок ,был хороший уровень зарплаты, потом набрали 800 человек народу, произошло перенаимпновании компании ,работы стало мало ,зарплату сокращали 3 раза ,ухудшали уровень зароботка задавливая коэффициентами скорости и качества ,и в один момент просто распрощались с людьми уволив поочередно и внеся в черный список ,уровень дохода упал ,варьируется от 30 до 50 тысяч ,ранее зарабатывали от 100 тыс Поменять руководство, вернуть уровень зарплат, не относится к людям как к стаду который не имеет своего слова Ответ представителя компании Май 2026",,
22,2.7,negative,"Рабочий график, есть выбор, перерыв в любое время, удобный перевод между подразделениями Зарплата, оплата больничных, больше обучений и поддержки от руководства. Лояльность Ответ представителя компании Март 2026",,
23,4.3,positive,"Хороший стабильный график,отличная система обучения новых сотрудников,внутренний портал для развития сотрудника внутри компании. Не могу пожаловаться на что то конкретное,сменил работу т.к было далеко от дома и хотелось быть чаще дома по времени Ответ представителя компании Апрель 2026",,
24,4.0,positive,"гибкий график, за день можно между встречами отдыхать, можно договориться с руководством, хорошая зп приходится перерабатывать, работа разъездная, приходится за день проходить от 20 до 30 тыс шагов Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Тольятти, Май 2026",,
25,2.7,negative,"Возможность самому влиять на уровень дохода. Изучение нового в сфере продаж. «Свободный» график Слишком много работников в сфере доставки продуктов Т-банка. Что напрямую влияет на уровень дохода. При занятости весь день доход может оставаться в районе 2000-3000. Полезный отзыв Это полезный отзыв 3 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
26,5.0,positive,"Свобода выбора графика, возможность работы из дома, наставничество, регулярные обучения для повышения уровня ЗП зависит от количества заявок, которые ты оформил. Те, если не сделал план, максимум получишь 6000 руб. Хотелось чтоб все же минимум был МРОТ Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
27,5.0,positive,"Устроилась в банк без опыта. Научилась всему за месяц. Огромное спасибо наставнику за помощь, да и всей команде в целом. Обучение неделю всего было, много училась уже в дальнейшем. Рада, что все получилось, потому что сейчас комфортно работать. Все получается. Уже давно не реагирую на негатив от отдельных клиентов. Работаю в удобном для себя графике и неплохо зарабатываю. Можно всегда больше платить, я не думаю, что есть люди, которые будут отказываться. В остальном я проблем пока не вижу. Ответ представителя компании Февраль 2026",,
28,2.7,negative,"В целом ребята все неплохие. Когда устраиваешься все подготовят сами, неплохая система обучения. Условия труда, отношение к работнику. Внутреннюю атмосферу, культивация мата в коллективе это лютый треш. Ответ представителя компании Март 2026",,
29,4.7,positive,"Хорошая инженерная культура. Отношение к отрудникам и соц пакет. Отличный офис на Белорусской Итак все нормально. Компания достаточно делает для своих сотрудников, улучшать нечего Ответ представителя компании Май 2026",,
30,1.3,negative,"Слишком много обязанностей, не связанных с должностью, нечего больше добавить. Компания экономит. Обязанности, взваливаемые на роль ""Руководитель группы разработки"" должны разделяться как минимум натри отдельные должности. Компания экономит. Полезный отзыв Это полезный отзыв 6 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
31,4.0,positive,"Быстрое трудоустройство и не затянут период первоначального обучения. Сама по себе работа достаточно интересная, но сложная. Помочь человеку выпутаться из долгов та еще задачка. Самые приятные воспоминания у меня связаны с коллективом, отлично общались даже дистанционно, а при очень встречах так и вовсе зажигали на ура. Со стороны нанимателя не было инициативы по сплочению команды, а очень бы не помешали выездные праздники, челленджи и корпоративы. Ответ представителя компании Апрель 2026",,
32,5.0,positive,"Проработал в отделе взыскания Т банка 3 года и очень рад, что у меня был в карьере такой этап. Прежде всего сама возможность ссылаться в резюме на работу здесь - однозначный плюс, а кроме этого, удалось приобрести много полезных навыков. В частности я виртуозно научился управлять собственным голосом, раньше даже не подозревал, что это настолько влияет на убедительность. Работать с взысканием задолженности и не пропускать негатив через себя практически невозможно, очень устал от печальных историй клиентов. Ответ представителя компании Май 2026",,
33,2.2,negative,"1.Грфик работы выбираешь сам но где и сколько работать не всегда можно выбрать,иногда меняют регион оказания услуг без согласования. 1.Распределение количества встреч,планы продаж, компенсация топлива, депонирования, работа до 23 ночи. Ответ представителя компании Март 2026",,
34,4.5,positive,"Свободный выбор графика, удобство в удалённом формате, отличные наставники и куратор группы. Развитие и карьерный рост. Улучшить можно было бы систему оценок, повысить доход за время на линии и добавить мотиваций в функционал. Ответ представителя компании Март 2026",,
35,1.3,negative,"Выплаты и гсм приходят отдельно. Сам выбираешь рабочие дни. Обучение легкое и понятное 1300р в день это очень мало. Мало дают встреч. Часто по 2 визита в день. Очень большой километраж в день - дают одни сёла и деревни, далеко от города Ответ представителя компании Март 2026",,
36,5.0,positive,"В принципе норм было, много ездила, каждый день по несколько десятков встреч это интересно, когда только пришла на эту работу, я стеснялась разговаривать с незнакомыми людьми, сейчас же подойду к кому хочу и спрошу что хочу, без сомнений и стеснения, и каждый человек по-своему может раскрыться в общении, нужно грамотно вести беседу, но темп работы слишком быстрый лично для меня., поэтому решила уйти на офисную работу, на которой пригодились все умения приобритенные на должности представителя. Глобально ничего, наверное но для меня постоянные разъезды оказались сложными, перебралась в офис. Ответ представителя компании Март 2026",,
37,2.0,negative,"Стабильный график, стабильная , но маленькая зарплата , ДМС ,дополнительный отпуск за переработки Все можно улучшить , для начала повысить сотрудникам заработную плату , и нормально ее структурировать , а то сегодня премия есть а завтра нет Ответ представителя компании Февраль 2026",,
38,2.5,negative,Практически всегд найдешь хороший коллектив Разъездной характер работы Общение с новыми людьми Более менее выбор графика Выплата вознаграждения без задержек Распределение встреч не умелое Компенсация ГСМ низкое Много и дорогие штрафы Отправление по принуждению в другой регион работы Изменения графика работы Высокие требования к продажам Ответ представителя компании Май 2026,,
39,5.0,positive,"Дружная команда, понимающий и чуткий руководитель. Достойная зарплата, возможность влиять на процессы Существует разобщенность между отдельным кросс командами, некоторые команды существуют в собственном ""мире"" Ответ представителя компании Май 2026",,
40,5.0,positive,"Отличный работодатель как для старта карьеры, так и для сильных экспертов. Постоянно драйвит высокий уровень технологичности. Коллектив гибкий, молодой и талантливый, большинство процессов хорошо отлажено. Можно работать с уникальными продуктами, которым сложно придумать конкуренцию. Всё вместе создаёт крутую атмосферу и большое пространство для роста. У Т-Банка множество продуктов и ещё больше внутренних технологий, поэтому иногда возникает путаница в зонах ответственности, даже если доработки небольшие, от чего возникает перебор с количеством встреч и разных уточнений. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Санкт-Петербург, Май 2026",,
41,4.7,positive,- Уровень дохода - Хорошие коллеги и руководители - Бесплатное питание - ДМС со стоматологией - Возможность удаленной работы - Шикарные офисы - Трансфер до офиса - Хороший Work life balance - Уровень бюрократии - Выделять больше денег на обед - Индексация зарплаты соразмерно инфляции Ответ представителя компании Апрель 2026,,
42,4.0,positive,"1.Зарабатывал хорошие деньги и доказал отцу, что и без высшего образования, добиться можно много. 2.Здорово прокачал мозги, научился разбираться в финансовых вопросах и грамотно обращаться с деньгами. 3.Обрел настоящих друзей, коллектив в банке топовый. 1.Увеличить разбежку между встречами. 2.Предоставить представителю безлимит на топливо. 3.Выделять деньги на кофе-брейк и обед, чтобы питание в течение дня было за счет банка. Ответ представителя компании Май 2026",,
43,4.7,positive,"Стабильные выплаты, обучения за счет работодателя, возможность перехода на вакансии внутри компании, хорошая заработная плата, и относительно быстрое повышение в должности( все зависит от тебя). Руководители и сотрудники всегда отзывчивые и дружелюбные. Большой плюс официального трудоустройства, оплачиваемые больничные. Было бы хорошо пересмотреть аналитику, так как не всегда она работает в плюс сотрудникам. Ответ представителя компании Апрель 2026",,
44,2.7,negative,"Удаленная работа, добровольное медицинское страхование (ДМС), современная корпоративная культура. Увеличить заработную плату, пересмотреть мотивацию, учитывать пожелания по графику работы. Ответ представителя компании Май 2026",,
45,4.5,positive,"Удобный график, работа удаленная, хорошая коммуникация сотрудников и вышестоящих. Зп сильно колебалась вне зависимости от сотрудников, но это было в 2024 году. Жить на тот момент с зп 20-25 т. было тяжело Ответ представителя компании Январь 2026",,
46,5.0,positive,"Не жалею, что сразу после школы не стал поступать в универ, а на 3 года завис здесь. Я разобрался в самом себе, в людях и окружающем мире. Понял, что юриспруденция - это вообще ни разу не мое, поступил учиться на менеджера. Совмещать заочку с работой не захотел, выбрал дневную форму обучения. Накопленных здесь знаний и опыта мне хватает, чтобы сейчас гораздо лучше усваивать учебный материал и неплохо проявить себя на стажировке. Отсутствие многих полезных бонусов, вроде ДМС, компенсации фитнеса, бесплатного питания…все это положительно сказалось бы на моей эффективности. Ответ представителя компании Май 2026",,
47,2.8,negative,"Открытые люди, общение на ты, всегда помогут и подскажут, что и как. Если что-то не знаешь или не понимаешь всегда можно уточнить на линии в реальном времени Сделать возможность роста более гибким. Можно повыситься до ""старшего"" Оператора кол центра, но дальше возможности практически нет Ответ представителя компании Март 2026",,
48,5.0,positive,"Было хорошее обучение. Первое время ездил на встречи с более опытным сотрудником, который подсказывал, помогал, после встреч обязательно разбирали, что можно было сделать лучше. Вышел самостоятельно, когда был готов. Дополнительные продажи шли неплохо, за счет чего зарплата была высокой. Платили всегда без задержек. Уставал от общения, половину встреч еще энтузиазма хватало на максимум отработать, а потом моя социальная батарейка садилась. Ответ представителя компании Февраль 2026",,
49,2.8,negative,"Возможность работать из дома Коллектив Руководитель ДМС Постоянная смена регламента Низкая мотивация Жесткий уровень оценки, нужно быть роботом, чтобы заработать премию Пожелания к графику учитываться стали все реже Нельзя взять отгул за свой счет, при форс мажорах Полезный отзыв Это полезный отзыв 6 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
50,4.0,positive,"Интересная работа, без переработок и непонятных требований. Все достаточно размеренно и спокойно. Свои обязанности выполняю, находясь дома, но я не сама по себе и в случае возникновения затруднений, есть куда обратиться за помощью. Команда всегда рядом хоть и дистанционно, причем настолько классные ребята здесь, что помимо рабочих моментов еще и просто так болтать в свободное время есть желание. Я бы хотела больше свободы в плане организации моего рабочего процесса. К примеру не вижу ничего плохого, чтобы фоном играла музыка или шел какой-то подкаст. На эффективность обслуживания клиентов - это никак не повлияет, а мне будет психологически комфортней. Ответ представителя компании Апрель 2026",,
51,5.0,positive,"Работал из дома и график был адекватным. Не 24 на 7 точно , так что особо не выматывался. Эмоциональной гигиене меня тоже сразу обучили и коллеги лайфхаками щедро делились, как через себя не пропускать чужие проблемы, так что не могу сказать, что особо стрессовал. Зарабатывал прилично, помимо премиальных были приличные бонусы, среди которых ДМС и компенсация фитнеса. Больше выгод предусмотреть для сотрудников банка стоило бы, в частности льготы на оформление продуктов точно можно расширить. Ответ представителя компании Январь 2026",,
52,4.2,positive,"Да теперь особо ничего...очень и очень разочарована тем что грубо говоря сказали либо иди на горячую линию,либо бери отпуск за свой счёт (увольнение в общем) Совет по улучшению,это сохранять рабочие места после выхода с декретного отпуска ,либо же предоставлять аналогичные должности,а не ГОРЯЧУЮ ЛИНИЮ С ЧАТАМИ И ВИДЕОЗВОНКАМИ,как это произошло у меня Ответ представителя компании Январь 2026",,
53,4.0,positive,"Боялась, что работа будет сопряжена с негативом, все-таки отдел взыскания. Однако с таким не столкнулась. Во многом потому, что работала с клиентами, у которых задолженность только начала формироваться и с ними явно проще иметь дело, чем с поздними должниками. Кроме того, я прошла обучение, которая мне помогло быть убедительной, аргументировать свою позицию и достигать результат в виде хотя бы обещания погасить задолженность. Хотелось в офисе большей приватности, предпочла бы работать из отдельного кабинета. Ответ представителя компании Январь 2026",,
54,4.8,positive,"Забота о сотрудниках, подарки к новому году, ДМС, страхование жизни и здоровья, удобное расположение офиса, безлимитный чай кофе печенье фрукты Все устраивает. Очень строгая пропускная система, хотя для банка так положено Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",,
55,5.0,positive,"За те два года, что работала менеджером по продажам в Т-банке, очень неплохо прокачала навыки по общению с людьми, по презентациям разных продуктов, по работе с проблемными клиентами. На начальных этапах работы с клиентами в Т-банке мне было непросто: но по мере опыта эффективность моих действий увеличивалась. Сейчас, когда решила сменить работу, опыт продаж в Т-банке сыграл мне на руку - такие сотрудники, как оказывается, многим нужны. Высокая нагрузка - особенно сложно было первое время, потом, конечно, уже привыкла, но не все новички справляются. Ответ представителя компании Февраль 2026",,
56,2.7,negative,"Сейчас ничего. Условия труда только ухудшаются, нормативов и целей всё больше, но не роста оплаты. Активная работа и сплочение коллектива вместо видимости работы и заядлой попытки натянуть цифры на глобус. Ответ представителя компании Январь 2026",,
57,5.0,positive,"Выяснилось что удаленный формат работы это вообще не мое. Мне сложно настроится на рабочий лад сидя дома, и про эту проблему я вообще не думала когда сюда устраивалась. Ушла в офис, мне гораздо проще здесь сосредоточится и сразу вышла на больший уровень дохода. Но для тех кто хочет работать дома это очень хороший вариант: есть качественное обучение, скрипты в помощь, есть наставник на первое время который помогает. Зарплату платят без задержек - ее величина зависит от эффективности работы. удаленный формат работы оказался для меня не лучшим вариантом. Ответ представителя компании Март 2026",,
58,2.3,negative,"Хорошие обучающие материалы, полезные приобретенные навыки в сфере банкинга и работы с клиентами. Крайне низкий уровень заработка, слишком быстрое внедрение в новые процессы(изучение всех продуктов банка в кратчайшие сроки) Очень непрозрачный уровень оценки качества вашей работы, который придется постоянно оспаривать Повышенный фактор стресса Изменение графика работы каждую неделю Ответ представителя компании Май 2026",,
59,5.0,positive,"Мне работа идеально подходит на самом деле. Клиенты - бизнес, мне всегда предпринимательство интересно было. А это как возможность познакомиться со всей внутрянкой, погрузиться в процессы. Плюс серьезные и конструктивные люди в основном, минимум пустого негатива, приятно с ними общаться. По зп, по условиям в целом тоже устраивает. Пока жаловаться не на что особо. Поднять зп, это самое главное из того, что всегда и в любой ситуации можно улучшить.",,
60,2.7,negative,"Зарплату платят без задержек, работа не выходя из дома, дают небольшой перерыв,который можно разбить на несколько маленьких. Отношение между руководителями и подчинёнными, уменьшить штрафы, увеличить зарплату, улучшить качество обучения. Ответ представителя компании Февраль 2026",,
61,1.5,negative,"Свободный график, каждую неделю зп и на этом все. Заработную плату, компенсацию расходов на эту работу, график адекватный, ну и хотя бы платили не как в доставке яндекс еда, еще убрали штрафы некчемные, из за штрафов просто в минус работаешь. Ответ представителя компании Январь 2026",,
62,2.2,negative,"Раньше это была лучшая работа с высоким доходом. Сейчас же это дно, простите. Штрафы буквально за все, рейтинги, зарплата уменьшенная в 2 раза Убрать рейтинг, штрафы. Оплачивать отпуск. Сократить график работы, чтобы был не до 22 Ответ представителя компании Март 2026",,
63,2.8,negative,"Это удалённый формат, на обучении все было хорошо. Ребята все понятно объясняются. Коммуникация, ни кто ни чего не знает. Все после трудоустройства, и ты как слепой котёнок. На обучении информация, по трудоустройства была она. Перейдя на практику, оказалось всё по другому. Ответ представителя компании Март 2026",,
64,4.0,positive,"Удаленная работа, возможность развития, обучение, плюшки для сотрудников, ДМС, оплачиваемых отпуск, зоны отдыха и многое другое Коммуникация между сотрудниками. В основном, дело было в коллективе и график хотелось бы 2/2 Ответ представителя компании Март 2026",,
65,2.8,negative,"Стабильная ЗП, социальный пакет, условно-гибкий график. Комфортные условия для работы. Отношение к сотрудникам. Сейчас это пушечное мясо, на которое всем плевать. Одним словом - мясорубка. Ответ представителя компании Март 2026",,
66,1.7,negative,Возможность удаленной работы. Неплохое обучение. Большинство учителей позитивно настроены. Постоянные технические проблемы. Примерно половина учебного времени тратится на устранение технических проблем. Например группа 100 человек полчаса ждёт когда спикер решает проблему с аккаунтом одного ученика. Ответ представителя компании Март 2026,,
67,4.5,positive,"Обучают, помогают, наставляют и все объясняют прозрачно. Не бросают в трудную минуту. Приложение, и более четкую систему оплаты труда и все остального. Ну и нормально расположение клиентов, а то один клиент в 10 в одном конце города, а другой в 11 утра на другом конце. Ответ представителя компании Январь 2026",,
68,1.7,negative,"График удобный, зона для работы комфортная. Всё необходимое под рукой, ничего не отвлекает. Карьерный рост здесь зависит не от навыков, а от близости к руководству. Ценится умение вовремя доложить, а не профессионализм. В руководящем составе личные отношения явно преобладают над профессиональными. Создаётся впечатление, что должности распределяются по принципу близости, а не компетенций. Ответ представителя компании Март 2026",,
69,2.8,negative,"Ни чего не нравится в работадателе , только куратор , который всегда был на связи и отвечал на все вопросы в любое время. Я рад , что получил для себя опыт , как не должна работать компания. Все можно было бы улучшить. Систему распределения заявок по территориям , чтобы не мотаться киллометрами по городу в режиме пещего курьера , оплата за каждую выполненную заявку , пересмотреть некоторые штрафы и воьще убрать прослушку , а то чувствуешь себя как агент фбр на встречах. Система обучения непонятная , отмутствует практика во время обучения , которая есть у Альфабанка. Ваша компания выигрывает у альфабанка только по интерфейсу приложения и все.... Ответ представителя компании Апрель 2026",,
70,2.0,negative,"Крупная, известная компания. Удаленный формат работы. Обучение. Относительно не сложная работа. Все. Уровень заработка, ЗП заниженная в сравнении с вакансией, стабильность, скорость ответов техподдержки. Ответ представителя компании Июнь 2026",,
71,1.5,negative,"Ничего хорошего, условия только хуже и хуже, на уступки не идут, человеческий фактор не учитывают, жизненные ситуации бывают разные, потеряла работу из-за руководства Коллектив, зарплату, условия труда, отношение руководства к сотрудникам Ответ представителя компании Январь 2026",,
72,5.0,positive,"Удобный график, платят всегда вовремя. Обучение качественное, после него фактически готова была к работе и сразу начала работать без косяков. Зарплата неплохая, еще и нормальная премия, на которую можно влиять. Не хватает живого общения с коллегами. Мне кажется, что даже при удаленке это во всех городах можно организовать. Ответ представителя компании Март 2026",,
73,1.3,negative,"Свободный график. Возможность выбирать рабочие дни . на этом плюсы заканчиваются Менеджер по адаптации - подставляет своих подопечных по полной. Обучение сомнительное.. При возникновении спорных вопросов, сами менеджеры не могут твёрдо дать ответ. Путаются, потому что в обучении очень все размыто. Особенно не проработана часть , касающаяся, обслуживания нерезидентов. Нет никакой связи между теми сотрудниками, которые договариваются о встрече по выдаче карт и теми, кто из привозит. Бывало, что у кл к5та паспорт просрочен, и он об этом предупреждал, но встречу ему назначили, а представителю, который приехал на эту встречу, заказ не оплатили, потому как без действующего паспорта ничего сделать нельзя Ответ представителя компании Март 2026",,
74,5.0,positive,"Конечно, изначально смущал момент, что зарплата по большей части зависит от продаж, но у меня быстро начало хорошо получаться и уже со второго месяца мой доход меня уже полностью устраивал. Немного неудобно то, что никогда не знаешь, сколько у тебя точно выйдет в следующем месяце, но через чат-бота можно было отслеживать свои показатели и понимать примерную сумму. Зарплату не задерживали ни разу - выплачивали все четко, здесь придраться не к чему. Схема оплата топлива мне не нравилась, хотелось бы большей прозрачности в этом смысле (но для тех, кто хорошо зарабатывал представительством, это проблемой не было)",,
75,1.7,negative,"Своевременная оплата труда, стабильный уровень дохода, сменный график, коллектив , но в последнее время подбирают не совсем адекватных людей Полная замена руководства, а точнее его оптимизация. Большое количество руководителей никак не способствующих выстраиванию процесов. Двое новых руководителей из Озона, которые превращают склад внутреннего потребления банка еще в один Озон с количеством пиков, прямой сигнал уходить из компаний, ни к чему хорошему. Ответ представителя компании Март 2026",,
76,2.3,negative,График и онлайн формат и на этом по сути как бы все что есть в плюсах больше не добавлю с их зп только плакать и можно денег в Москве хватит только на покушать и на этом по сути все Ответ представителя компании Апрель 2026,,
77,2.2,negative,"дают выходные когда они не нужны, ты выходишь по своему графику и просто ждешь задач, это время тебе не оплачивают дать возможность зарабатывать, возможность для развития, а не условных переходов без повышения оплаты и договора Ответ представителя компании Февраль 2026",,
78,5.0,positive,"У меня есть определенные ограничения по здоровью, поэтому изначально искал сидячую работу. Из всех вакансий, что я нашел, оператор колл-центра в Т-банке оплачивалась лучше всех. Проработал здесь год - могу сказать только хорошее: график удобный, в течение дня перерывы можно делать, зарплату не задерживали. Да в целом все было нормально. Иногда попадаются не настроенные на общение клиенты, но это общая специфика работы с людьми. Ответ представителя компании Февраль 2026",,
79,1.2,negative,"удаленная работа, митапы в Москве с проездом и проживанием за счет работодателя. работа по ГПХ, отсутствие карьерного роста - продвигают своих друзей на должности, начальство слабее сотрудников по уровню образования и интеллекта. Ответ представителя компании Апрель 2026",,
80,2.7,negative,"Свобода выборе графика под себя, удалённый формат. Очень отзывчивый руководитель. Систему мотивации, увеличить оплату труда. Слегка упростить дедлайны и оформлять сотрудников не по ГПХ а по ТК РФ. Ответ представителя компании Январь 2026",,
81,2.7,negative,"Единственное, что понравилось это мой руководитель. Такой прекрасный человек, всегда помогал, если что то непонятно, помогал в адаптации",,
